,あっ,"Ah!,Oh!"
愛,あい,love
挨拶,あいさつ,"greeting,salutation"
愛情,あいじょう,"love,affection"
合図,あいず,"sign,signal"
,アイスクリーム,ice cream
愛する,あいする,to love
相手,あいて,"companion,partner,company"
,あいにく,"unfortunately,Sorry, but...."
,アイロン,(electric) iron
,アウト,out
明かり,あかり,"lamplight,light (in general),brightness"
空き,あき,"room,time to spare,emptiness"
明らか,あきらか,"obvious,evident,clear"
諦める,あきらめる,"to give up,to abandon"
飽きる,あきる,"to get tired of,to lose interest in,to have enough"
握手,あくしゅ,handshake
悪魔,あくま,"devil,demon,evil spirit"
明ける,あける,"to dawn,to become daylight"
,あした,tomorrow
預ける,あずける,"to give into custody,to entrust,to deposit"
汗,あせ,"sweat,perspiration"
与える,あたえる,"to give,to present,to award"
暖かい,あたたか(い),"warm,mild"
辺り,あたり,"vicinity,nearby"
当たる,あたる,"to be hit,to be successful,to be equivalent to"
,あちこち,here and there
扱う,あつかう,"to handle,to deal with,to treat"
集まり,あつまり,"gathering,meeting,assembly,collection"
当てる,あてる,"to hit,to apply a patch"
跡,あと,"(1) trace,tracks,mark,sign,(2) remains,ruins,(3) scar"
,あと,"(1) trace,tracks,(2) remains,ruins,(3) scar"
穴,あな,hole
浴びる,あびる,"to bathe,to bask in the sun,to shower"
油,あぶら,oil
余り,あまり,"not very (used as adverb),not much"
誤り,あやまり,error
粗,あら,"defect,flaw,blemish,weak point"
嵐,あらし,"storm,tempest"
新た,あらた,"new,fresh,novel"
,あらゆる,"all,every"
表す,あらわす,"to express,to show,to reveal"
現す,あらわす,"to show,to indicate,to display"
現れ,あらわれ,"embodiment,materialization"
現れる,あらわれる,"(1) to appear,to come in sight,to become visible,(2) to express oneself"
,ありがとう,"(conj,exp,int) Thank you"
有る,ある,"to be,to have"
或,ある,"a certain...,some..."
,あるいは,"or,possibly"
,アルバム,album
泡,あわ,"bubble,foam,froth,head on beer"
合わせる,あわせる,"to join together,to be opposite,to face,to unite"
哀れ,あわれ,"helpless,pity,sorrow,grief"
案,あん,"plan,suffix meaning draft"
暗記,あんき,"memorization,learning by heart"
安定,あんてい,"stability,equilibrium"
案内,あんない,"information,guidance,leading"
,あんなに,"to that extent,to that degree"
,あんまり,"not very,not much,remainder,rest"
胃,い,stomach
,いい,good
,よい,"good,nice,pleasant,ok"
いえ,いえ,TODO same as いいえ?
委員,いいん,committee member
言う,ゆう,to say
意外,いがい,"unexpected,surprising"
行き,いき,going
行き,ゆき,going
息,いき,"breath,tone"
勢い,いきおい,"force,vigor,energy,spirit"
生き物,いきもの,"living thing,animal"
幾つ,いくつ,"how many?,how old?"
幾ら,いくら,"how much?,how many?"
,いけない,"must not do,bad,wrong,not good"
医師,いし,"doctor,physician"
意思,いし,"intention,purpose"
